Date,Winner,Loser,WRank,LRank,WPts,LPts,B365W,B365L,PSW,PSL
11/01/2021,Player49,Player15,10,34,4133,2466,1.49,2.64,1.53,2.72
11/01/2021,Player8,Player0,59,33,901,2577,2.77,1.45,2.86,1.49
12/01/2021,Player35,Player16,57,35,1093,2680,2.07,1.77,2.13,1.82
12/01/2021,Player58,Player20,38,41,2420,2260,2.08,1.76,2.14,1.81
12/01/2021,Player13,Player24,39,40,2325,2440,2.11,1.74,2.17,1.79
13/01/2021,Player43,Player3,1,28,4968,3305,1.54,2.49,1.59,2.56
13/01/2021,Player37,Player57,52,48,1222,1587,1.91,1.9,1.97,1.95
13/01/2021,Player29,Player55,54,36,1316,2316,2.21,1.67,2.28,1.72
14/01/2021,Player14,Player21,11,53,4174,1077,1.44,2.8,1.49,2.88
14/01/2021,Player38,Player39,5,37,4828,2389,1.45,2.78,1.49,2.86
14/01/2021,Player55,Player9,36,29,2316,3213,2.23,1.66,2.29,1.71
15/01/2021,Player21,Player10,53,31,1077,2848,2.3,1.63,2.36,1.67
15/01/2021,Player59,Player16,43,35,2172,2680,2.14,1.72,2.2,1.77
15/01/2021,Player13,Player43,39,1,2325,4968,2.54,1.52,2.62,1.57
16/01/2021,Player35,Player10,57,31,1093,2848,2.57,1.51,2.64,1.56
16/01/2021,Player17,Player37,49,52,1531,1222,2.0,1.82,2.06,1.87
16/01/2021,Player20,Player1,41,60,2260,994,1.72,2.14,1.77,2.2
17/01/2021,Player19,Player34,50,32,1479,2831,2.44,1.56,2.51,1.61
17/01/2021,Player31,Player11,55,45,899,2050,2.01,1.81,2.07,1.87
17/01/2021,Player15,Player25,34,16,2466,3895,2.44,1.56,2.51,1.61
18/01/2021,Player6,Player45,9,25,4577,3083,1.58,2.39,1.63,2.46
18/01/2021,Player25,Player9,16,29,3895,3213,1.76,2.08,1.81,2.14
18/01/2021,Player18,Player58,23,38,3354,2420,1.74,2.1,1.8,2.16
19/01/2021,Player57,Player42,48,13,1587,3909,2.32,1.62,2.39,1.66
19/01/2021,Player48,Player26,12,30,4191,3202,1.59,2.36,1.64,2.43
19/01/2021,Player43,Player40,1,17,4968,3658,1.71,2.15,1.76,2.21
20/01/2021,Player55,Player50,36,15,2316,3906,2.31,1.62,2.38,1.67
20/01/2021,Player28,Player2,18,44,3592,1873,1.43,2.86,1.47,2.95
20/01/2021,Player50,Player33,15,24,3906,3673,1.62,2.32,1.66,2.38
21/01/2021,Player37,Player47,52,6,1222,4446,3.2,1.36,3.3,1.39
21/01/2021,Player13,Player55,39,36,2325,2316,2.13,1.72,2.2,1.77
21/01/2021,Player25,Player48,16,12,3895,4191,1.74,2.1,1.79,2.16
22/01/2021,Player33,Player51,24,27,3673,3119,1.96,1.85,2.02,1.91
22/01/2021,Player45,Player1,25,60,3083,994,1.35,3.22,1.39,3.31
22/01/2021,Player46,Player22,7,42,4796,1754,1.45,2.76,1.5,2.84
23/01/2021,Player52,Player11,3,45,4703,2050,1.32,3.42,1.36,3.52
23/01/2021,Player23,Player24,8,40,3953,2440,1.45,2.79,1.49,2.88
23/01/2021,Player46,Player0,7,33,4796,2577,1.39,3.02,1.43,3.11
24/01/2021,Player28,Player8,18,59,3592,901,1.31,3.51,1.35,3.61
24/01/2021,Player35,Player17,57,49,1093,1531,2.01,1.81,2.07,1.86
24/01/2021,Player22,Player42,42,13,1754,3909,2.59,1.5,2.67,1.55
25/01/2021,Player52,Player26,3,30,4703,3202,1.41,2.93,1.45,3.02
25/01/2021,Player48,Player27,12,4,4191,4718,2.03,1.79,2.09,1.85
25/01/2021,Player46,Player36,7,58,4796,885,1.33,3.37,1.37,3.47
26/01/2021,Player15,Player55,34,36,2466,2316,1.75,2.09,1.8,2.16
26/01/2021,Player9,Player12,29,26,3213,3655,2.24,1.66,2.31,1.71
26/01/2021,Player27,Player50,4,15,4718,3906,1.68,2.2,1.73,2.27
27/01/2021,Player7,Player30,20,56,3316,1065,1.41,2.94,1.45,3.03
27/01/2021,Player49,Player11,10,45,4133,2050,1.49,2.64,1.53,2.71
27/01/2021,Player0,Player29,33,54,2577,1316,1.52,2.54,1.57,2.61
28/01/2021,Player32,Player10,46,31,1603,2848,1.99,1.83,2.05,1.88
28/01/2021,Player56,Player35,14,57,3706,1093,1.38,3.09,1.42,3.19
28/01/2021,Player22,Player19,42,50,1754,1479,1.71,2.15,1.76,2.21
29/01/2021,Player47,Player58,6,38,4446,2420,1.52,2.55,1.57,2.62
29/01/2021,Player38,Player32,5,46,4828,1603,1.3,3.56,1.34,3.66
29/01/2021,Player33,Player58,24,38,3673,2420,1.53,2.53,1.57,2.6
30/01/2021,Player57,Player1,48,60,1587,994,1.71,2.15,1.76,2.22
30/01/2021,Player2,Player30,44,56,1873,1065,1.7,2.17,1.75,2.23
30/01/2021,Player16,Player30,35,56,2680,1065,1.53,2.52,1.58,2.59
31/01/2021,Player28,Player24,18,40,3592,2440,1.59,2.38,1.63,2.45
31/01/2021,Player21,Player5,53,21,1077,3756,3.16,1.36,3.25,1.4
31/01/2021,Player58,Player11,38,45,2420,2050,1.85,1.96,1.91,2.02
01/02/2021,Player28,Player34,18,32,3592,2831,1.67,2.21,1.72,2.28
01/02/2021,Player45,Player49,25,10,3083,4133,1.84,1.97,1.9,2.03
01/02/2021,Player59,Player26,43,30,2172,3202,2.25,1.65,2.32,1.7
02/02/2021,Player43,Player2,1,44,4968,1873,1.28,3.7,1.32,3.81
02/02/2021,Player27,Player4,4,19,4718,3295,1.72,2.14,1.77,2.2
02/02/2021,Player50,Player42,15,13,3906,3909,2.06,1.77,2.12,1.82
03/02/2021,Player42,Player18,13,23,3909,3354,1.83,1.98,1.89,2.04
03/02/2021,Player55,Player43,36,1,2316,4968,2.92,1.41,3.01,1.45
03/02/2021,Player37,Player36,52,58,1222,885,1.9,1.91,1.96,1.97
04/02/2021,Player49,Player15,10,34,4133,2466,1.61,2.33,1.66,2.39
04/02/2021,Player4,Player2,19,44,3295,1873,1.49,2.65,1.53,2.73
04/02/2021,Player38,Player16,5,35,4828,2680,1.45,2.78,1.49,2.86
05/02/2021,Player23,Player10,8,31,3953,2848,1.59,2.38,1.63,2.45
05/02/2021,Player49,Player54,10,47,4133,1574,1.4,2.97,1.44,3.06
05/02/2021,Player36,Player31,58,55,885,899,2.02,1.8,2.08,1.86
06/02/2021,Player23,Player55,8,36,3953,2316,1.55,2.46,1.6,2.53
06/02/2021,Player44,Player0,22,33,3686,2577,1.66,2.23,1.71,2.29
06/02/2021,Player45,Player43,25,1,3083,4968,2.44,1.56,2.51,1.61
07/02/2021,Player27,Player32,4,46,4718,1603,1.4,3.0,1.44,3.09
07/02/2021,Player5,Player38,21,5,3756,4828,2.48,1.54,2.56,1.59
07/02/2021,Player47,Player5,6,21,4446,3756,1.68,2.2,1.73,2.27
08/02/2021,Player50,Player25,15,16,3906,3895,2.02,1.8,2.08,1.85
08/02/2021,Player27,Player9,4,29,4718,3213,1.57,2.42,1.62,2.49
08/02/2021,Player24,Player8,40,59,2440,901,1.55,2.48,1.59,2.55
09/02/2021,Player14,Player34,11,32,4174,2831,1.61,2.32,1.66,2.39
09/02/2021,Player47,Player25,6,16,4446,3895,1.65,2.25,1.7,2.31
09/02/2021,Player0,Player1,33,60,2577,994,1.39,3.03,1.43,3.12
10/02/2021,Player27,Player9,4,29,4718,3213,1.58,2.39,1.63,2.46
10/02/2021,Player32,Player40,46,17,1603,3658,3.01,1.39,3.1,1.43
10/02/2021,Player52,Player26,3,30,4703,3202,1.58,2.4,1.63,2.47
11/02/2021,Player40,Player47,17,6,3658,4446,2.16,1.7,2.22,1.75
11/02/2021,Player47,Player16,6,35,4446,2680,1.46,2.73,1.51,2.81
11/02/2021,Player14,Player0,11,33,4174,2577,1.54,2.5,1.59,2.57
12/02/2021,Player55,Player34,36,32,2316,2831,2.0,1.81,2.06,1.87
12/02/2021,Player12,Player13,26,39,3655,2325,1.74,2.11,1.79,2.17
12/02/2021,Player0,Player55,33,36,2577,2316,1.97,1.85,2.02,1.9
13/02/2021,Player48,Player12,12,26,4191,3655,1.52,2.55,1.57,2.62
13/02/2021,Player15,Player20,34,41,2466,2260,1.77,2.07,1.82,2.13
13/02/2021,Player3,Player5,28,21,3305,3756,2.15,1.71,2.21,1.76
14/02/2021,Player57,Player48,48,12,1587,4191,3.49,1.31,3.6,1.35
14/02/2021,Player56,Player51,14,27,3706,3119,1.71,2.14,1.76,2.21
14/02/2021,Player44,Player4,22,19,3686,3295,1.9,1.91,1.96,1.97
15/02/2021,Player6,Player59,9,43,4577,2172,1.35,3.22,1.39,3.31
15/02/2021,Player41,Player34,51,32,1403,2831,2.32,1.62,2.39,1.66
15/02/2021,Player6,Player40,9,17,4577,3658,1.79,2.04,1.84,2.1
16/02/2021,Player57,Player34,48,32,1587,2831,2.28,1.64,2.35,1.68
16/02/2021,Player12,Player16,26,35,3655,2680,1.88,1.93,1.94,1.99
16/02/2021,Player41,Player45,51,25,1403,3083,2.65,1.49,2.73,1.53
17/02/2021,Player1,Player11,60,45,994,2050,2.28,1.63,2.35,1.68
17/02/2021,Player26,Player49,30,10,3202,4133,2.53,1.53,2.61,1.57
17/02/2021,Player37,Player56,52,14,1222,3706,2.86,1.43,2.94,1.47
18/02/2021,Player27,Player55,4,36,4718,2316,1.3,3.57,1.34,3.68
18/02/2021,Player49,Player2,10,44,4133,1873,1.48,2.67,1.52,2.75
18/02/2021,Player46,Player48,7,12,4796,4191,1.79,2.03,1.84,2.09
19/02/2021,Player25,Player36,16,58,3895,885,1.34,3.29,1.38,3.39
19/02/2021,Player33,Player50,24,15,3673,3906,2.06,1.77,2.12,1.83
19/02/2021,Player27,Player54,4,47,4718,1574,1.26,3.94,1.29,4.05
20/02/2021,Player33,Player18,24,23,3673,3354,1.64,2.27,1.69,2.34
20/02/2021,Player30,Player41,56,51,1065,1403,2.03,1.8,2.09,1.85
20/02/2021,Player3,Player28,28,18,3305,3592,1.9,1.91,1.96,1.96
21/02/2021,Player32,Player37,46,52,1603,1222,1.84,1.97,1.9,2.03
21/02/2021,Player10,Player15,31,34,2848,2466,1.9,1.91,1.95,1.97
21/02/2021,Player40,Player41,17,51,3658,1403,1.39,3.03,1.43,3.12
22/02/2021,Player39,Player51,37,27,2389,3119,2.21,1.67,2.28,1.72
22/02/2021,Player31,Player17,55,49,899,1531,2.01,1.81,2.07,1.86
22/02/2021,Player47,Player18,6,23,4446,3354,1.58,2.4,1.63,2.47
23/02/2021,Player54,Player13,47,39,1574,2325,2.16,1.7,2.23,1.75
23/02/2021,Player34,Player8,32,59,2831,901,1.51,2.58,1.55,2.66
23/02/2021,Player12,Player40,26,17,3655,3658,1.98,1.84,2.04,1.89
24/02/2021,Player3,Player51,28,27,3305,3119,1.73,2.12,1.78,2.18
24/02/2021,Player7,Player6,20,9,3316,4577,2.38,1.59,2.45,1.64
24/02/2021,Player23,Player43,8,1,3953,4968,2.33,1.61,2.4,1.66
25/02/2021,Player53,Player6,2,9,4719,4577,1.84,1.97,1.9,2.03
25/02/2021,Player38,Player24,5,40,4828,2440,1.45,2.77,1.49,2.86
25/02/2021,Player25,Player12,16,26,3895,3655,1.62,2.32,1.66,2.38
26/02/2021,Player15,Player21,34,53,2466,1077,1.43,2.85,1.47,2.93
26/02/2021,Player17,Player13,49,39,1531,2325,2.01,1.81,2.07,1.86
26/02/2021,Player10,Player11,31,45,2848,2050,1.68,2.2,1.73,2.27
27/02/2021,Player53,Player6,2,9,4719,4577,1.8,2.02,1.85,2.08
27/02/2021,Player37,Player59,52,43,1222,2172,1.92,1.89,1.98,1.94
27/02/2021,Player14,Player15,11,34,4174,2466,1.61,2.33,1.66,2.4
28/02/2021,Player33,Player13,24,39,3673,2325,1.71,2.14,1.76,2.21
28/02/2021,Player9,Player25,29,16,3213,3895,2.02,1.81,2.07,1.86
28/02/2021,Player49,Player54,10,47,4133,1574,1.41,2.92,1.46,3.0
01/03/2021,Player15,Player9,34,29,2466,3213,2.1,1.74,2.16,1.79
01/03/2021,Player19,Player54,50,47,1479,1574,1.93,1.88,1.98,1.94
01/03/2021,Player35,Player41,57,51,1093,1403,2.02,1.8,2.08,1.85
02/03/2021,Player43,Player55,1,36,4968,2316,1.52,2.56,1.56,2.63
02/03/2021,Player38,Player39,5,37,4828,2389,1.47,2.7,1.51,2.78
02/03/2021,Player20,Player22,41,42,2260,1754,1.77,2.06,1.82,2.12
03/03/2021,Player33,Player16,24,35,3673,2680,1.78,2.05,1.83,2.11
03/03/2021,Player43,Player20,1,41,4968,2260,1.49,2.64,1.53,2.72
03/03/2021,Player38,Player1,5,60,4828,994,1.21,4.45,1.25,4.58
04/03/2021,Player24,Player46,40,7,2440,4796,2.9,1.42,2.99,1.46
04/03/2021,Player39,Player35,37,57,2389,1093,1.64,2.26,1.69,2.33
04/03/2021,Player55,Player20,36,41,2316,2260,1.86,1.95,1.91,2.01
05/03/2021,Player37,Player23,52,8,1222,3953,2.95,1.41,3.04,1.45
05/03/2021,Player9,Player46,29,7,3213,4796,2.96,1.4,3.05,1.45
05/03/2021,Player27,Player44,4,22,4718,3686,1.46,2.75,1.5,2.83
06/03/2021,Player7,Player40,20,17,3316,3658,1.86,1.96,1.91,2.01
06/03/2021,Player25,Player42,16,13,3895,3909,2.11,1.73,2.17,1.79
06/03/2021,Player4,Player31,19,55,3295,899,1.51,2.58,1.56,2.65
07/03/2021,Player41,Player44,51,22,1403,3686,2.47,1.55,2.54,1.6
07/03/2021,Player7,Player19,20,50,3316,1479,1.55,2.48,1.59,2.55
07/03/2021,Player39,Player15,37,34,2389,2466,2.05,1.78,2.11,1.83
08/03/2021,Player54,Player21,47,53,1574,1077,1.96,1.86,2.01,1.91
08/03/2021,Player6,Player13,9,39,4577,2325,1.45,2.77,1.5,2.85
08/03/2021,Player14,Player32,11,46,4174,1603,1.45,2.77,1.5,2.85
09/03/2021,Player43,Player47,1,6,4968,4446,1.67,2.21,1.72,2.28
09/03/2021,Player17,Player37,49,52,1531,1222,1.91,1.9,1.97,1.95
09/03/2021,Player34,Player30,32,56,2831,1065,1.49,2.63,1.54,2.7
10/03/2021,Player27,Player57,4,48,4718,1587,1.33,3.36,1.37,3.46
10/03/2021,Player47,Player57,6,48,4446,1587,1.35,3.26,1.39,3.36
10/03/2021,Player50,Player52,15,3,3906,4703,2.13,1.72,2.2,1.77
11/03/2021,Player4,Player17,19,49,3295,1531,1.57,2.42,1.62,2.49
11/03/2021,Player7,Player58,20,38,3316,2420,1.79,2.04,1.84,2.1
11/03/2021,Player43,Player34,1,32,4968,2831,1.29,3.66,1.32,3.77
12/03/2021,Player30,Player54,56,47,1065,1574,2.04,1.79,2.1,1.84
12/03/2021,Player27,Player46,4,7,4718,4796,1.71,2.15,1.76,2.21
12/03/2021,Player46,Player24,7,40,4796,2440,1.52,2.56,1.56,2.64
13/03/2021,Player44,Player2,22,44,3686,1873,1.54,2.49,1.59,2.57
13/03/2021,Player50,Player3,15,28,3906,3305,1.69,2.17,1.74,2.24
13/03/2021,Player11,Player24,45,40,2050,2440,1.84,1.98,1.89,2.03
14/03/2021,Player14,Player2,11,44,4174,1873,1.38,3.06,1.42,3.15
14/03/2021,Player11,Player12,45,26,2050,3655,2.29,1.63,2.36,1.68
14/03/2021,Player48,Player13,12,39,4191,2325,1.49,2.63,1.54,2.71
15/03/2021,Player24,Player22,40,42,2440,1754,1.81,2.01,1.86,2.07
15/03/2021,Player15,Player21,34,53,2466,1077,1.76,2.07,1.82,2.13
15/03/2021,Player57,Player6,48,9,1587,4577,3.31,1.34,3.41,1.38
16/03/2021,Player33,Player43,24,1,3673,4968,2.55,1.52,2.63,1.56
16/03/2021,Player41,Player11,51,45,1403,2050,1.75,2.09,1.8,2.15
16/03/2021,Player12,Player24,26,40,3655,2440,1.53,2.52,1.58,2.59
17/03/2021,Player54,Player28,47,18,1574,3592,2.45,1.56,2.53,1.6
17/03/2021,Player35,Player12,57,26,1093,3655,2.98,1.4,3.07,1.44
17/03/2021,Player34,Player54,32,47,2831,1574,1.61,2.33,1.66,2.4
18/03/2021,Player15,Player58,34,38,2466,2420,1.83,1.99,1.88,2.05
18/03/2021,Player20,Player9,41,29,2260,3213,2.16,1.7,2.22,1.75
18/03/2021,Player14,Player50,11,15,4174,3906,2.07,1.77,2.13,1.82
19/03/2021,Player47,Player11,6,45,4446,2050,1.32,3.4,1.36,3.5
19/03/2021,Player56,Player12,14,26,3706,3655,1.6,2.35,1.65,2.42
19/03/2021,Player29,Player57,54,48,1316,1587,1.73,2.12,1.78,2.18
20/03/2021,Player56,Player59,14,43,3706,2172,1.4,3.0,1.44,3.09
20/03/2021,Player23,Player13,8,39,3953,2325,1.53,2.53,1.57,2.6
20/03/2021,Player51,Player14,27,11,3119,4174,2.37,1.59,2.44,1.64
21/03/2021,Player21,Player22,53,42,1077,1754,2.2,1.68,2.26,1.73
21/03/2021,Player10,Player20,31,41,2848,2260,1.77,2.06,1.83,2.12
21/03/2021,Player20,Player55,41,36,2260,2316,1.95,1.86,2.01,1.92
22/03/2021,Player26,Player51,30,27,3202,3119,2.41,1.58,2.48,1.62
22/03/2021,Player28,Player32,18,46,3592,1603,1.39,3.01,1.43,3.1
22/03/2021,Player6,Player31,9,55,4577,899,1.31,3.45,1.35,3.56
23/03/2021,Player52,Player58,3,38,4703,2420,1.5,2.61,1.54,2.69
23/03/2021,Player38,Player17,5,49,4828,1531,1.34,3.27,1.38,3.36
23/03/2021,Player45,Player33,25,24,3083,3673,2.14,1.71,2.21,1.76
24/03/2021,Player24,Player35,40,57,2440,1093,1.51,2.58,1.55,2.66
24/03/2021,Player20,Player11,41,45,2260,2050,1.82,1.99,1.88,2.05
24/03/2021,Player23,Player4,8,19,3953,3295,1.58,2.41,1.62,2.48
25/03/2021,Player0,Player59,33,43,2577,2172,1.89,1.92,1.95,1.97
25/03/2021,Player7,Player17,20,49,3316,1531,1.38,3.06,1.42,3.15
25/03/2021,Player50,Player1,15,60,3906,994,1.18,4.87,1.22,5.01
26/03/2021,Player39,Player54,37,47,2389,1574,1.75,2.09,1.8,2.16
26/03/2021,Player46,Player34,7,32,4796,2831,1.63,2.29,1.68,2.36
26/03/2021,Player31,Player9,55,29,899,3213,2.82,1.44,2.9,1.48
27/03/2021,Player49,Player54,10,47,4133,1574,1.36,3.18,1.4,3.27
27/03/2021,Player25,Player58,16,38,3895,2420,1.57,2.43,1.61,2.5
27/03/2021,Player20,Player29,41,54,2260,1316,1.77,2.06,1.83,2.12
28/03/2021,Player39,Player51,37,27,2389,3119,2.18,1.69,2.25,1.74
28/03/2021,Player48,Player31,12,55,4191,899,1.3,3.56,1.34,3.67
28/03/2021,Player6,Player29,9,54,4577,1316,1.3,3.55,1.34,3.65
29/03/2021,Player47,Player30,6,56,4446,1065,1.32,3.39,1.36,3.49
29/03/2021,Player59,Player20,43,41,2172,2260,1.93,1.88,1.99,1.93
29/03/2021,Player56,Player0,14,33,3706,2577,1.65,2.25,1.7,2.32
30/03/2021,Player54,Player8,47,59,1574,901,1.75,2.09,1.8,2.15
30/03/2021,Player20,Player39,41,37,2260,2389,1.95,1.86,2.01,1.92
30/03/2021,Player28,Player35,18,57,3592,1093,1.5,2.62,1.54,2.69
31/03/2021,Player17,Player20,49,41,1531,2260,2.04,1.79,2.1,1.84
31/03/2021,Player22,Player24,42,40,1754,2440,1.81,2.01,1.86,2.07
31/03/2021,Player30,Player28,56,18,1065,3592,3.03,1.39,3.12,1.43
01/04/2021,Player45,Player14,25,11,3083,4174,2.12,1.73,2.18,1.78
01/04/2021,Player20,Player4,41,19,2260,3295,2.5,1.54,2.57,1.58
01/04/2021,Player29,Player4,54,19,1316,3295,2.81,1.44,2.9,1.48
02/04/2021,Player16,Player55,35,36,2680,2316,1.91,1.9,1.97,1.95
02/04/2021,Player13,Player32,39,46,2325,1603,1.58,2.4,1.63,2.47
02/04/2021,Player54,Player30,47,56,1574,1065,1.88,1.93,1.93,1.99
03/04/2021,Player1,Player59,60,43,994,2172,2.29,1.63,2.36,1.68
03/04/2021,Player42,Player45,13,25,3909,3083,1.75,2.08,1.8,2.15
03/04/2021,Player6,Player40,9,17,4577,3658,1.75,2.09,1.8,2.15
04/04/2021,Player57,Player1,48,60,1587,994,1.59,2.38,1.63,2.45
04/04/2021,Player54,Player16,47,35,1574,2680,2.08,1.76,2.14,1.81
04/04/2021,Player4,Player48,19,12,3295,4191,2.27,1.64,2.34,1.69
05/04/2021,Player4,Player52,19,3,3295,4703,2.18,1.69,2.24,1.74
05/04/2021,Player4,Player22,19,42,3295,1754,1.54,2.49,1.59,2.57
05/04/2021,Player32,Player39,46,37,1603,2389,2.16,1.7,2.23,1.75
06/04/2021,Player15,Player52,34,3,2466,4703,2.51,1.53,2.59,1.58
06/04/2021,Player15,Player14,34,11,2466,4174,2.37,1.59,2.44,1.64
06/04/2021,Player3,Player36,28,58,3305,885,1.41,2.92,1.45,3.01
07/04/2021,Player45,Player26,25,30,3083,3202,1.76,2.07,1.81,2.13
07/04/2021,Player57,Player36,48,58,1587,885,1.9,1.91,1.96,1.97
07/04/2021,Player42,Player14,13,11,3909,4174,1.87,1.95,1.92,2.0
08/04/2021,Player27,Player59,4,43,4718,2172,1.37,3.14,1.41,3.24
08/04/2021,Player25,Player56,16,14,3895,3706,2.05,1.78,2.11,1.83
08/04/2021,Player17,Player8,49,59,1531,901,1.66,2.23,1.71,2.3
09/04/2021,Player43,Player22,1,42,4968,1754,1.36,3.17,1.4,3.27
09/04/2021,Player15,Player37,34,52,2466,1222,1.67,2.22,1.72,2.28
09/04/2021,Player27,Player58,4,38,4718,2420,1.48,2.69,1.52,2.77
10/04/2021,Player38,Player24,5,40,4828,2440,1.54,2.5,1.58,2.57
10/04/2021,Player1,Player57,60,48,994,1587,2.16,1.71,2.22,1.76
10/04/2021,Player5,Player45,21,25,3756,3083,1.76,2.07,1.82,2.13
11/04/2021,Player10,Player44,31,22,2848,3686,2.11,1.73,2.18,1.78
11/04/2021,Player37,Player58,52,38,1222,2420,2.12,1.73,2.18,1.78
11/04/2021,Player56,Player29,14,54,3706,1316,1.34,3.29,1.38,3.39
12/04/2021,Player48,Player25,12,16,4191,3895,2.0,1.82,2.06,1.87
12/04/2021,Player59,Player56,43,14,2172,3706,2.62,1.5,2.7,1.54
12/04/2021,Player22,Player17,42,49,1754,1531,2.03,1.8,2.09,1.85
13/04/2021,Player52,Player5,3,21,4703,3756,1.56,2.46,1.6,2.53
13/04/2021,Player45,Player28,25,18,3083,3592,1.95,1.87,2.0,1.92
13/04/2021,Player6,Player37,9,52,4577,1222,1.5,2.61,1.54,2.69
14/04/2021,Player12,Player18,26,23,3655,3354,2.09,1.75,2.15,1.8
14/04/2021,Player48,Player37,12,52,4191,1222,1.38,3.06,1.42,3.15
14/04/2021,Player46,Player3,7,28,4796,3305,1.64,2.26,1.69,2.33
15/04/2021,Player4,Player19,19,50,3295,1479,1.49,2.64,1.53,2.72
15/04/2021,Player52,Player26,3,30,4703,3202,1.51,2.59,1.55,2.67
15/04/2021,Player17,Player7,49,20,1531,3316,3.18,1.36,3.27,1.4
16/04/2021,Player17,Player42,49,13,1531,3909,2.65,1.49,2.73,1.53
16/04/2021,Player33,Player29,24,54,3673,1316,1.42,2.9,1.46,2.98
16/04/2021,Player22,Player20,42,41,1754,2260,1.97,1.85,2.02,1.9
17/04/2021,Player43,Player21,1,53,4968,1077,1.3,3.58,1.34,3.68
17/04/2021,Player59,Player28,43,18,2172,3592,2.37,1.59,2.44,1.64
17/04/2021,Player58,Player8,38,59,2420,901,1.5,2.6,1.55,2.67
18/04/2021,Player22,Player55,42,36,1754,2316,2.13,1.72,2.19,1.77
18/04/2021,Player24,Player30,40,56,2440,1065,1.55,2.47,1.6,2.54
18/04/2021,Player1,Player28,60,18,994,3592,3.25,1.35,3.35,1.39
19/04/2021,Player26,Player1,30,60,3202,994,1.43,2.86,1.47,2.95
19/04/2021,Player10,Player3,31,28,2848,3305,2.02,1.81,2.07,1.86
19/04/2021,Player3,Player55,28,36,3305,2316,1.79,2.03,1.85,2.09
20/04/2021,Player19,Player21,50,53,1479,1077,1.85,1.97,1.9,2.03
20/04/2021,Player51,Player50,27,15,3119,3906,2.04,1.79,2.1,1.84
20/04/2021,Player35,Player24,57,40,1093,2440,2.23,1.66,2.29,1.71
21/04/2021,Player19,Player4,50,19,1479,3295,2.76,1.45,2.85,1.5
21/04/2021,Player34,Player47,32,6,2831,4446,2.76,1.45,2.84,1.5
21/04/2021,Player24,Player8,40,59,2440,901,1.74,2.11,1.79,2.17
22/04/2021,Player47,Player55,6,36,4446,2316,1.4,2.97,1.44,3.05
22/04/2021,Player14,Player32,11,46,4174,1603,1.62,2.3,1.67,2.37
22/04/2021,Player56,Player59,14,43,3706,2172,1.41,2.95,1.45,3.04
23/04/2021,Player41,Player58,51,38,1403,2420,1.96,1.86,2.01,1.91
23/04/2021,Player19,Player37,50,52,1479,1222,1.85,1.97,1.9,2.02
23/04/2021,Player39,Player31,37,55,2389,899,1.69,2.18,1.74,2.24
24/04/2021,Player42,Player38,13,5,3909,4828,2.21,1.67,2.28,1.72
