Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSCH,PSCD,PSCA
21/08/2021,Team10,Team2,1,1,H,2.28,4.61,2.54,2.35,4.74,2.61
21/08/2021,Team13,Team10,3,2,A,2.18,4.74,2.62,2.25,4.88,2.7
21/08/2021,Team17,Team3,1,2,H,1.5,4.76,5.75,1.55,4.9,5.92
21/08/2021,Team5,Team2,0,0,A,1.89,5.39,2.98,1.95,5.55,3.07
22/08/2021,Team18,Team7,0,0,A,4.66,4.35,1.65,4.79,4.48,1.7
22/08/2021,Team10,Team0,0,0,A,2.48,4.56,2.34,2.55,4.7,2.41
22/08/2021,Team16,Team15,1,1,H,3.11,3.35,2.33,3.2,3.45,2.39
22/08/2021,Team4,Team11,4,1,H,1.96,4.22,3.3,2.02,4.34,3.4
23/08/2021,Team18,Team13,1,1,A,2.87,4.58,2.07,2.96,4.72,2.13
23/08/2021,Team5,Team6,0,0,A,1.47,5.13,5.74,1.51,5.28,5.91
23/08/2021,Team7,Team15,1,0,H,1.9,5.42,2.94,1.96,5.58,3.02
23/08/2021,Team16,Team17,3,5,D,1.74,5.91,3.27,1.79,6.08,3.37
24/08/2021,Team15,Team12,2,2,D,1.44,5.21,6.04,1.49,5.36,6.22
24/08/2021,Team14,Team6,1,2,D,1.94,4.9,3.01,2.0,5.05,3.1
24/08/2021,Team4,Team17,1,2,D,1.53,4.63,5.51,1.58,4.76,5.67
24/08/2021,Team7,Team6,1,0,A,1.48,5.22,5.5,1.52,5.37,5.66
25/08/2021,Team13,Team18,1,0,H,1.69,4.27,4.44,1.74,4.4,4.57
25/08/2021,Team11,Team5,0,1,A,1.98,5.6,2.72,2.04,5.76,2.8
25/08/2021,Team11,Team8,3,1,H,1.71,5.88,3.4,1.76,6.06,3.5
25/08/2021,Team12,Team17,0,1,A,2.42,4.63,2.37,2.49,4.77,2.44
26/08/2021,Team9,Team1,0,1,A,2.78,4.58,2.12,2.87,4.72,2.18
26/08/2021,Team10,Team11,0,2,A,2.35,5.88,2.2,2.42,6.05,2.27
26/08/2021,Team9,Team14,0,3,A,1.6,5.0,4.47,1.64,5.15,4.6
26/08/2021,Team9,Team10,4,0,H,1.95,4.4,3.23,2.01,4.53,3.32
27/08/2021,Team4,Team15,1,0,H,1.82,4.91,3.36,1.88,5.06,3.46
27/08/2021,Team19,Team13,0,0,H,2.1,5.88,2.48,2.16,6.05,2.56
27/08/2021,Team0,Team9,4,2,D,1.82,6.58,2.87,1.87,6.78,2.95
27/08/2021,Team15,Team11,0,1,A,1.91,5.21,3.0,1.96,5.36,3.08
28/08/2021,Team7,Team9,1,0,A,1.96,5.2,2.88,2.02,5.35,2.97
28/08/2021,Team8,Team16,3,1,A,1.88,4.01,3.71,1.94,4.13,3.82
28/08/2021,Team12,Team18,1,2,A,2.02,4.73,2.91,2.08,4.87,3.0
28/08/2021,Team19,Team5,2,0,D,3.2,3.93,2.07,3.3,4.05,2.13
29/08/2021,Team15,Team2,1,2,A,1.94,4.43,3.24,2.0,4.56,3.33
29/08/2021,Team8,Team9,1,3,A,1.99,4.88,2.92,2.05,5.02,3.0
29/08/2021,Team18,Team7,1,0,H,3.81,4.83,1.72,3.92,4.98,1.77
29/08/2021,Team11,Team17,1,4,A,1.55,5.06,4.81,1.6,5.21,4.95
30/08/2021,Team9,Team5,0,1,A,2.1,4.8,2.73,2.16,4.94,2.81
30/08/2021,Team18,Team8,1,0,D,3.43,5.56,1.73,3.54,5.72,1.78
30/08/2021,Team4,Team17,1,4,A,1.45,4.22,8.15,1.49,4.34,8.39
30/08/2021,Team0,Team11,2,0,A,2.54,3.78,2.55,2.62,3.89,2.63
31/08/2021,Team12,Team17,5,1,H,2.27,5.46,2.34,2.34,5.62,2.41
31/08/2021,Team1,Team6,1,4,A,1.36,5.07,8.62,1.4,5.22,8.87
31/08/2021,Team10,Team1,1,3,H,3.14,4.83,1.91,3.23,4.97,1.96
31/08/2021,Team9,Team0,1,2,A,1.91,5.48,2.92,1.96,5.64,3.0
01/09/2021,Team8,Team17,0,0,H,1.66,4.81,4.16,1.71,4.95,4.29
01/09/2021,Team7,Team8,2,0,H,1.86,5.4,3.06,1.91,5.56,3.15
01/09/2021,Team3,Team1,2,3,A,6.43,4.35,1.5,6.62,4.48,1.55
01/09/2021,Team8,Team1,1,3,A,2.58,4.79,2.21,2.65,4.93,2.27
02/09/2021,Team15,Team3,5,0,H,1.31,4.1,24.7,1.34,4.22,25.43
02/09/2021,Team7,Team1,2,0,H,2.17,6.65,2.28,2.23,6.85,2.35
02/09/2021,Team4,Team9,1,3,H,1.73,5.23,3.57,1.78,5.39,3.67
02/09/2021,Team9,Team5,0,3,A,2.2,6.29,2.29,2.26,6.48,2.36
03/09/2021,Team17,Team10,0,3,A,2.48,4.57,2.33,2.56,4.71,2.4
03/09/2021,Team1,Team3,2,0,H,1.17,6.54,23.63,1.2,6.73,24.32
03/09/2021,Team13,Team3,2,1,D,1.44,4.17,8.57,1.48,4.29,8.82
03/09/2021,Team10,Team0,1,0,H,2.72,3.92,2.34,2.8,4.03,2.41
04/09/2021,Team15,Team11,2,1,H,2.07,5.03,2.71,2.14,5.18,2.79
04/09/2021,Team1,Team3,2,2,H,1.36,4.45,10.91,1.4,4.58,11.23
04/09/2021,Team7,Team10,2,1,D,1.81,4.3,3.77,1.86,4.43,3.89
04/09/2021,Team12,Team11,1,1,A,4.67,5.64,1.52,4.81,5.8,1.56
05/09/2021,Team1,Team4,1,1,H,2.21,4.92,2.53,2.28,5.06,2.61
05/09/2021,Team15,Team16,0,1,H,1.71,4.75,3.93,1.76,4.89,4.05
05/09/2021,Team7,Team6,0,0,H,1.53,4.31,6.07,1.58,4.43,6.24
05/09/2021,Team3,Team12,2,1,D,2.46,5.54,2.16,2.53,5.71,2.22
06/09/2021,Team17,Team14,2,2,D,1.84,6.13,2.92,1.89,6.31,3.01
06/09/2021,Team6,Team14,1,2,H,2.34,4.51,2.5,2.41,4.65,2.57
06/09/2021,Team12,Team2,1,3,A,4.03,4.34,1.75,4.15,4.46,1.8
06/09/2021,Team17,Team19,0,1,A,2.08,5.28,2.64,2.14,5.44,2.72
07/09/2021,Team11,Team5,0,2,H,1.98,4.89,2.94,2.04,5.03,3.02
07/09/2021,Team10,Team11,2,1,H,2.92,3.84,2.24,3.0,3.96,2.3
07/09/2021,Team10,Team14,2,2,A,1.83,3.97,3.96,1.89,4.09,4.07
07/09/2021,Team8,Team13,1,1,H,1.7,5.27,3.68,1.75,5.43,3.79
08/09/2021,Team1,Team0,1,3,H,1.75,4.53,3.87,1.8,4.66,3.98
08/09/2021,Team12,Team7,1,1,A,3.99,5.48,1.62,4.11,5.64,1.67
08/09/2021,Team17,Team19,1,2,A,2.17,4.48,2.74,2.23,4.61,2.82
08/09/2021,Team5,Team19,0,1,D,1.58,6.2,3.91,1.63,6.38,4.03
09/09/2021,Team17,Team19,0,0,H,2.33,3.62,2.9,2.4,3.73,2.99
09/09/2021,Team11,Team10,1,0,A,1.6,7.24,3.49,1.65,7.46,3.59
09/09/2021,Team3,Team8,0,1,A,7.62,4.71,1.42,7.84,4.85,1.46
09/09/2021,Team14,Team4,1,1,H,4.91,4.0,1.68,5.05,4.12,1.73
10/09/2021,Team14,Team12,2,0,D,1.95,4.79,3.04,2.01,4.93,3.13
10/09/2021,Team16,Team6,3,1,H,1.81,4.44,3.66,1.87,4.57,3.77
10/09/2021,Team18,Team4,3,3,A,4.36,5.35,1.58,4.49,5.51,1.62
10/09/2021,Team17,Team6,1,2,A,1.78,5.31,3.33,1.83,5.47,3.42
11/09/2021,Team12,Team7,0,2,A,4.72,4.97,1.57,4.85,5.11,1.62
11/09/2021,Team10,Team8,1,0,D,2.12,5.1,2.61,2.18,5.25,2.69
11/09/2021,Team18,Team0,1,0,H,3.63,4.98,1.74,3.73,5.13,1.8
11/09/2021,Team8,Team11,0,1,H,2.3,5.06,2.39,2.37,5.2,2.46
12/09/2021,Team14,Team6,0,1,A,2.0,5.45,2.72,2.06,5.61,2.8
12/09/2021,Team12,Team2,1,0,H,4.09,4.68,1.69,4.21,4.82,1.74
12/09/2021,Team10,Team7,2,1,A,2.53,4.79,2.24,2.6,4.93,2.31
12/09/2021,Team8,Team17,3,0,H,1.68,3.85,5.1,1.73,3.96,5.25
13/09/2021,Team18,Team7,0,2,A,4.02,6.42,1.55,4.14,6.61,1.6
13/09/2021,Team9,Team6,0,2,H,1.51,5.33,4.99,1.56,5.48,5.14
13/09/2021,Team10,Team3,2,2,H,1.35,5.3,8.26,1.39,5.45,8.5
13/09/2021,Team2,Team1,2,0,H,2.65,4.88,2.14,2.73,5.02,2.2
14/09/2021,Team16,Team2,1,2,A,2.3,5.37,2.33,2.37,5.53,2.4
14/09/2021,Team10,Team15,0,3,D,2.92,5.76,1.87,3.01,5.92,1.93
14/09/2021,Team1,Team7,0,4,D,1.99,4.03,3.35,2.05,4.15,3.44
14/09/2021,Team16,Team14,0,1,D,1.82,4.16,3.83,1.88,4.28,3.94
15/09/2021,Team5,Team7,3,0,H,2.37,4.44,2.48,2.44,4.57,2.55
15/09/2021,Team19,Team9,3,0,H,2.68,4.68,2.16,2.76,4.82,2.22
15/09/2021,Team4,Team14,2,1,H,1.51,4.18,6.67,1.56,4.31,6.86
15/09/2021,Team7,Team14,1,1,H,1.49,5.97,4.75,1.53,6.15,4.89
16/09/2021,Team8,Team19,1,0,H,1.65,4.53,4.51,1.7,4.66,4.64
16/09/2021,Team3,Team15,1,4,A,6.8,6.27,1.35,7.0,6.45,1.38
16/09/2021,Team9,Team10,2,2,H,1.93,4.51,3.24,1.98,4.64,3.33
16/09/2021,Team6,Team13,1,1,H,2.4,5.43,2.23,2.47,5.59,2.29
17/09/2021,Team18,Team4,0,1,A,8.42,4.0,1.47,8.67,4.12,1.51
17/09/2021,Team5,Team16,3,0,H,1.8,4.47,3.68,1.86,4.6,3.79
17/09/2021,Team5,Team1,2,0,A,2.4,3.92,2.65,2.47,4.03,2.72
17/09/2021,Team8,Team14,1,2,H,1.44,5.69,5.51,1.49,5.86,5.67
18/09/2021,Team10,Team4,0,4,D,2.81,5.1,2.01,2.89,5.25,2.07
18/09/2021,Team15,Team0,1,1,H,1.81,4.51,3.61,1.87,4.65,3.72
18/09/2021,Team4,Team16,0,3,A,1.52,4.36,6.1,1.57,4.49,6.28
18/09/2021,Team8,Team7,0,0,H,2.54,5.2,2.15,2.62,5.35,2.22
19/09/2021,Team8,Team19,2,1,D,1.68,4.98,3.92,1.73,5.12,4.03
19/09/2021,Team9,Team14,0,0,H,1.62,4.53,4.72,1.67,4.66,4.86
19/09/2021,Team16,Team19,1,0,H,1.93,4.06,3.49,1.99,4.18,3.6
19/09/2021,Team11,Team8,1,1,A,1.91,4.6,3.23,1.97,4.73,3.33
20/09/2021,Team18,Team16,2,1,H,3.45,4.08,1.94,3.55,4.2,2.0
20/09/2021,Team10,Team1,1,2,A,3.09,5.02,1.9,3.18,5.16,1.95
20/09/2021,Team18,Team3,1,1,H,1.88,4.88,3.19,1.94,5.02,3.29
20/09/2021,Team1,Team6,1,2,H,1.4,5.0,7.45,1.44,5.15,7.67
21/09/2021,Team8,Team10,1,0,H,1.95,4.52,3.16,2.01,4.65,3.26
21/09/2021,Team1,Team0,3,1,H,1.61,5.83,3.89,1.66,6.0,4.01
21/09/2021,Team17,Team18,1,0,H,1.79,4.13,4.01,1.84,4.25,4.12
21/09/2021,Team17,Team4,2,3,D,4.76,4.36,1.64,4.9,4.49,1.69
22/09/2021,Team13,Team0,0,0,H,2.62,5.71,2.03,2.7,5.88,2.09
22/09/2021,Team16,Team4,5,1,D,3.02,5.47,1.87,3.11,5.63,1.92
22/09/2021,Team18,Team14,1,3,D,2.45,5.9,2.12,2.52,6.08,2.18
22/09/2021,Team4,Team9,0,0,H,1.53,4.97,5.16,1.57,5.11,5.31
23/09/2021,Team1,Team2,2,0,A,1.77,3.62,4.77,1.83,3.72,4.91
23/09/2021,Team8,Team2,1,0,H,2.07,4.34,2.97,2.13,4.47,3.05
23/09/2021,Team11,Team2,3,1,D,1.93,5.48,2.85,1.99,5.64,2.94
23/09/2021,Team14,Team16,1,0,A,2.8,4.59,2.1,2.89,4.72,2.17
24/09/2021,Team9,Team1,4,3,D,2.88,5.22,1.95,2.97,5.38,2.01
24/09/2021,Team11,Team17,3,1,D,1.59,4.65,4.83,1.64,4.78,4.97
24/09/2021,Team14,Team2,0,1,A,3.45,5.49,1.73,3.55,5.65,1.78
24/09/2021,Team11,Team13,2,2,H,1.73,4.47,4.05,1.78,4.6,4.17
25/09/2021,Team16,Team18,1,0,H,1.7,3.94,4.79,1.75,4.06,4.94
25/09/2021,Team4,Team14,2,2,D,1.37,6.35,6.24,1.41,6.54,6.42
25/09/2021,Team8,Team18,1,2,H,1.63,4.14,5.14,1.68,4.26,5.29
25/09/2021,Team16,Team18,2,1,A,1.71,3.86,4.85,1.76,3.98,4.99
26/09/2021,Team3,Team0,1,2,A,6.31,4.47,1.5,6.5,4.6,1.54
26/09/2021,Team13,Team9,2,0,H,2.87,4.28,2.14,2.95,4.4,2.2
26/09/2021,Team19,Team4,3,1,A,3.94,5.54,1.62,4.06,5.7,1.67
26/09/2021,Team14,Team1,0,1,A,3.96,4.32,1.77,4.08,4.45,1.82
27/09/2021,Team2,Team4,3,1,H,3.27,4.67,1.89,3.36,4.81,1.94
27/09/2021,Team6,Team8,0,1,D,3.07,4.69,1.96,3.16,4.82,2.01
27/09/2021,Team9,Team16,3,3,H,1.9,4.55,3.3,1.95,4.69,3.4
27/09/2021,Team4,Team7,0,0,H,1.77,5.42,3.34,1.82,5.58,3.44
28/09/2021,Team7,Team6,0,0,H,1.59,4.87,4.63,1.64,5.01,4.77
28/09/2021,Team3,Team6,0,2,A,3.3,4.82,1.86,3.39,4.96,1.91
28/09/2021,Team0,Team11,0,2,A,2.31,5.06,2.38,2.38,5.21,2.45
28/09/2021,Team8,Team9,1,1,A,1.91,4.72,3.16,1.97,4.86,3.26
29/09/2021,Team19,Team18,0,2,A,1.66,4.92,4.11,1.71,5.07,4.23
29/09/2021,Team0,Team9,1,0,D,2.13,5.53,2.5,2.19,5.69,2.58
29/09/2021,Team6,Team13,0,3,A,2.49,4.18,2.45,2.56,4.31,2.52
29/09/2021,Team8,Team7,1,0,A,2.37,3.85,2.71,2.44,3.96,2.79
30/09/2021,Team13,Team12,2,0,H,1.75,4.3,4.09,1.8,4.42,4.21
30/09/2021,Team19,Team17,0,3,A,1.97,6.87,2.53,2.02,7.08,2.6
30/09/2021,Team7,Team8,2,1,H,1.97,4.24,3.25,2.03,4.36,3.35
30/09/2021,Team19,Team8,1,1,D,2.73,5.37,2.01,2.81,5.53,2.07
01/10/2021,Team5,Team9,0,0,A,1.97,5.54,2.76,2.03,5.71,2.84
01/10/2021,Team8,Team7,2,2,D,2.11,5.07,2.64,2.17,5.22,2.72
01/10/2021,Team8,Team16,0,0,H,1.83,4.71,3.43,1.88,4.85,3.53
01/10/2021,Team14,Team13,0,4,D,2.78,4.42,2.15,2.86,4.55,2.22
02/10/2021,Team2,Team11,2,1,H,2.24,4.6,2.59,2.3,4.74,2.67
02/10/2021,Team14,Team12,1,0,H,1.85,4.07,3.77,1.91,4.19,3.88
02/10/2021,Team9,Team18,1,1,A,1.46,4.91,6.25,1.5,5.06,6.43
02/10/2021,Team13,Team18,0,0,H,1.59,4.86,4.61,1.64,5.01,4.75
03/10/2021,Team11,Team18,0,2,D,1.45,4.9,6.33,1.5,5.05,6.52
03/10/2021,Team10,Team12,0,1,A,1.54,4.87,5.15,1.58,5.01,5.3
03/10/2021,Team3,Team6,1,1,H,2.83,4.42,2.13,2.91,4.55,2.19
03/10/2021,Team19,Team14,1,5,A,2.13,4.8,2.69,2.19,4.94,2.77
04/10/2021,Team11,Team7,1,1,A,2.17,4.63,2.68,2.23,4.77,2.76
04/10/2021,Team12,Team1,2,1,A,4.7,4.96,1.57,4.84,5.1,1.62
04/10/2021,Team1,Team18,2,0,H,1.41,4.41,8.73,1.45,4.54,8.99
04/10/2021,Team17,Team4,0,0,A,4.28,4.59,1.67,4.4,4.73,1.72
05/10/2021,Team0,Team16,4,1,H,1.91,4.56,3.26,1.96,4.7,3.36
05/10/2021,Team18,Team0,0,1,A,4.11,4.82,1.67,4.23,4.97,1.72
05/10/2021,Team11,Team13,0,1,A,1.71,5.33,3.61,1.76,5.48,3.71
05/10/2021,Team10,Team5,1,1,A,2.39,4.93,2.34,2.46,5.07,2.41
06/10/2021,Team9,Team3,1,3,D,1.4,4.63,8.46,1.44,4.77,8.71
06/10/2021,Team12,Team16,0,1,A,2.93,4.83,1.99,3.02,4.98,2.05
06/10/2021,Team1,Team11,4,4,D,1.75,5.11,3.53,1.8,5.26,3.63
06/10/2021,Team2,Team8,1,2,D,2.3,3.78,2.85,2.37,3.89,2.93
07/10/2021,Team13,Team9,1,0,H,2.73,4.38,2.2,2.81,4.51,2.26
07/10/2021,Team11,Team9,0,0,A,2.02,4.02,3.26,2.08,4.14,3.36
07/10/2021,Team16,Team7,2,1,H,2.85,4.49,2.1,2.93,4.62,2.16
07/10/2021,Team19,Team13,2,1,H,2.01,4.43,3.06,2.07,4.56,3.15
08/10/2021,Team11,Team9,0,1,A,1.88,4.64,3.31,1.93,4.77,3.41
08/10/2021,Team14,Team18,1,3,A,1.84,4.93,3.28,1.9,5.08,3.38
08/10/2021,Team6,Team18,0,1,A,1.88,4.19,3.57,1.94,4.31,3.67
08/10/2021,Team18,Team3,1,1,D,1.78,4.71,3.64,1.83,4.85,3.75
09/10/2021,Team17,Team4,0,2,A,4.05,5.84,1.58,4.17,6.01,1.63
09/10/2021,Team0,Team13,1,1,H,1.72,4.44,4.09,1.77,4.57,4.21
09/10/2021,Team10,Team3,2,1,D,1.5,3.83,8.28,1.54,3.94,8.52
09/10/2021,Team4,Team5,0,1,A,1.77,5.76,3.2,1.82,5.93,3.3
10/10/2021,Team10,Team1,1,0,H,3.19,6.52,1.71,3.29,6.72,1.76
10/10/2021,Team14,Team12,5,0,H,2.07,4.31,2.98,2.13,4.43,3.07
10/10/2021,Team19,Team14,1,1,H,1.7,5.13,3.73,1.75,5.28,3.84
10/10/2021,Team16,Team2,0,1,D,2.37,4.8,2.39,2.44,4.94,2.46
11/10/2021,Team15,Team18,1,1,H,1.44,5.6,5.64,1.48,5.76,5.81
11/10/2021,Team3,Team1,1,1,A,8.16,4.84,1.39,8.4,4.98,1.43
11/10/2021,Team7,Team16,0,1,H,1.86,4.27,3.62,1.91,4.39,3.72
11/10/2021,Team15,Team5,2,1,H,1.86,5.75,2.95,1.92,5.92,3.04
12/10/2021,Team3,Team16,0,2,A,5.25,5.32,1.49,5.41,5.48,1.53
12/10/2021,Team17,Team12,1,2,H,1.58,6.24,3.9,1.63,6.42,4.01
12/10/2021,Team18,Team11,2,2,A,4.55,5.29,1.56,4.69,5.44,1.61
12/10/2021,Team10,Team0,1,0,H,2.57,4.12,2.39,2.64,4.24,2.47
13/10/2021,Team7,Team14,2,0,H,1.63,4.53,4.62,1.68,4.67,4.75
13/10/2021,Team16,Team19,0,1,A,1.89,4.51,3.35,1.94,4.64,3.44
13/10/2021,Team6,Team0,0,0,A,3.27,5.16,1.82,3.36,5.31,1.87
13/10/2021,Team14,Team5,1,2,A,3.22,4.39,1.96,3.31,4.52,2.01
14/10/2021,Team3,Team18,3,0,A,2.6,5.47,2.07,2.68,5.63,2.13
14/10/2021,Team18,Team6,1,0,H,2.46,5.37,2.18,2.54,5.53,2.25
14/10/2021,Team19,Team17,2,0,H,2.18,3.77,3.06,2.25,3.88,3.15
14/10/2021,Team10,Team13,3,3,A,1.79,5.06,3.42,1.84,5.21,3.52
15/10/2021,Team5,Team8,1,1,A,1.84,6.45,2.85,1.89,6.64,2.93
15/10/2021,Team9,Team2,1,3,D,2.02,5.47,2.68,2.08,5.63,2.76
15/10/2021,Team7,Team14,4,1,A,1.44,4.72,7.02,1.48,4.86,7.23
15/10/2021,Team19,Team17,0,0,A,2.23,4.2,2.75,2.3,4.32,2.83
16/10/2021,Team19,Team18,4,1,D,1.77,4.76,3.65,1.82,4.89,3.76
16/10/2021,Team7,Team15,0,3,A,1.91,5.8,2.82,1.97,5.97,2.91
16/10/2021,Team16,Team11,1,1,A,2.17,5.88,2.38,2.24,6.05,2.45
16/10/2021,Team15,Team16,1,1,A,1.76,4.68,3.73,1.81,4.82,3.84
